id,nome,nome_completo,ruolo,ruolo_completo,p1,p2,p3,p4,squadra,v1,v2,piede,paese,nascita,foto,m1,m2,m3
2845,Contini,Contini Nikita,P,Por,2,1,2,1,Napoli,1,1,destro,Italia;Ucraina,21/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CONTINI.png?v=50,0,6.0,6.0
610,Gollini,Gollini Pierluigi,P,Por,6,1,6,1,Napoli,15,15,destro,Italia,18/03/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GOLLINI.png?v=50,0,6.0,4.8
572,Meret,Meret Alex,P,Por,12,17,12,17,Napoli,58,58,sinistro,Italia,22/03/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MERET.png?v=50,0,6.06,5.06
5750,Ostigard,Ostigard Leo,D,Dc,6,4,6,4,Napoli,14,14,destro,Norvegia,28/11/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OSTIGARD.png?v=50,0,5.85,6.1
4409,Rrahmani,Rrahmani Amir,D,Dc,8,14,8,14,Napoli,36,36,ambidestro,Kosovo;Albania,24/02/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RRAHMANI.png?v=50,0,5.91,6.0
256,Juan Jesus,Juan Jesus Nunes,D,Ds;Dc,4,5,4,6,Napoli,21,24,sinistro,Brasile,10/06/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/JUAN-JESUS.png?v=50,0,5.88,5.71
2816,Di Lorenzo,Di Lorenzo Giovanni,D,Dd;E,15,18,15,18,Napoli,80,80,destro,Italia,04/08/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DI-LORENZO.png?v=50,0,6.14,6.38
5527,Zanoli,Zanoli Alessandro,D,Dd;E,3,4,3,4,Salernitana,14,14,destro,Italia,03/10/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZANOLI.png?v=50,0,6.0,6.0
142,Mario Rui,Mario Rui Duarte,D,Ds;E,5,10,5,10,Napoli,25,25,sinistro,Portogallo,27/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MARIO-RUI.png?v=50,0,5.81,5.73
5840,Olivera,Olivera Mathias,D,Ds;E,4,7,4,7,Napoli,20,20,sinistro,Uruguay;Spagna,31/10/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OLIVERA.png?v=50,0,5.91,5.82
